Gene ID,Gene Name,Chromosome,Start Position,End Position,SGD_description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj ,variant_positions,sig_pvals,closest_upstream_variant,dist_from_UGV,upstream_pval,closest_downstream_variant,downstream_pval
YPL075W,GCR1,chr16,412254,415362,"Sequence-specific DNA binding RNA polymerase II transcription factor involved nucleosome organization, cellular response to glucose and the regulation of glycolysis, and the regulation of ribosomal protein gene expression; localizes to the nuclear envelope",478.1025419,-0.356037138,0.096333561,-3.695878513,0.000219128,0.045611034,NA,NA,252298,159956,2.86E-08,572049,3.30E-09
YBL035C,POL12,chr2,151493,153610,"Subunit of DNA polymerase alpha:primase complex involved in DNA replication initiation, lagging strand elongation, and telomere capping; localizes to nuclear envelope",165.2036128,-0.345704409,0.103777467,-3.331208787,0.000864697,0.093453814,NA,NA,9439,142054,1.08E-08,268913,5.01E-07
YHL020C,OPI1,chr8,66242,67456,Transcription corepressor and phosphatidic acid-binding protein; regulates transcription from RNA polymerase II promoters and negatively regulates phospholipid biosynthesis; involved in the endoplasmic reticulum unfolded protein response; localizes to the endoplasmic reticulum and to various components of the nucleus,595.3674138,-0.344733209,0.087563162,-3.936966186,8.25E-05,0.03091683,NA,NA,53882,12360,5.54E-07,92155,9.54E-09
YDR147W,EKI1,chr4,751631,753235,Ethanolamine kinase involved in the phosphatidylcholine and phosphatidylethanolamine biosynthesis; localizes to cytoplasm,502.7302511,-0.338189957,0.080644144,-4.193608348,2.75E-05,0.022627112,NA,NA,523790,227841,5.00E-08,757367,3.97E-07
YLL001W,DNM1,chr12,147890,150163,"GTPase involved in localization, organization, fission, and inheritance of mitochondria; also involved in macroautophagy, and peroxisome organization and fission; localizes to cytosol, peroxisome, and mitochondrial outer membrane",364.5200823,-0.312517632,0.091364273,-3.420567147,0.000624907,0.081599617,NA,NA,NA,NA,NA,150541,2.64E-08
YDR347W,MRP1,chr4,1169178,1170143,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion",831.6555014,-0.218285818,0.066674999,-3.273878061,0.001060824,0.099792774,NA,NA,1163959,5219,2.29E-07,1308631,1.29E-19
YJR007W,SUI2,chr10,451020,451934,GTP binding protein involved in formation of translation preinitiation complex; subunit of eukaryotic 48S preinitiation complex; localizes to cytoplasmic stress granule,10063.30104,0.203569084,0.061858534,3.290881128,0.000998741,0.098472365,NA,NA,439622,11398,8.55E-09,606453,3.79E-09
YLR363W-A,YLR363W-A,chr12,853461,853718,Protein whose biological role is unknown; localizes to the nucleus in different large-scale studies,2234.300917,0.222428196,0.067965556,3.272660596,0.001065403,0.099792774,NA,NA,818466,34995,5.84E-07,954228,3.60E-07
YGR060W,ERG25,chr7,610564,611493,C-4 methylsterol oxidase involved in ergosterol biosynthesis; localizes to plasma membrane and endoplasmic reticulum membrane,19705.56499,0.246790919,0.066431384,3.714974824,0.000203224,0.045149906,NA,NA,530031,80533,5.05E-07,660617,1.42E-07
YKR099W,BAS1,chr11,635851,638286,Sequence-specific DNA binding RNA polymerase II transcription activator; localizes to nucleus,1948.198787,0.252911724,0.060761353,4.162378083,3.15E-05,0.022627112,NA,NA,389134,246717,3.07E-10,NA,NA
YFL039C,ACT1,chr6,53260,54696,Structural constituent of the cytoskeleton; involved in cell polarity and actomyosin contractile ring assembly during cell division,53138.5595,0.282271177,0.084515113,3.339889939,0.000838116,0.093453814,NA,NA,26594,26666,5.58E-07,205105,3.61E-08
YNL259C,ATX1,chr14,157644,157865,Copper chaperone involved in cellular response to oxidative stress and iron ion homeostasis; localizes to the cytosol,2395.716312,0.287746622,0.084997497,3.385354065,0.000710865,0.083344514,NA,NA,NA,NA,NA,254840,2.26E-09
YDR006C,SOK1,chr3,458542,461247,Nuclear protein involved in protein kinase A signaling,1692.642299,0.296604,0.089702697,3.306522673,0.000944617,0.098310145,NA,NA,315729,142813,2.25E-18,NA,NA
YLR064W,PER33,chr12,265456,266277,Protein whose biological role is unknown; localizes to the endoplasmic reticulum and nuclear envelope,2005.587396,0.311374031,0.076247553,4.083724917,4.43E-05,0.022643231,NA,NA,150541,114915,2.64E-08,301171,1.03E-08
YHR070W,TRM5,chr8,234881,236380,tRNA methyltransferase that methylates guanine residues in both cytoplasmic and mitochondrial tRNAs; localized to both the cytoplasm and to mitochondria,4859.917274,0.323603749,0.092509499,3.498059679,0.000468656,0.070174827,NA,NA,201673,33208,5.19E-08,467079,5.54E-07
YER048W-A,ISD11,chr5,250718,251002,Subunit of the mitochondrial NIAUFX iron-sulfur cluster assembly complex; contributes to cysteine desulferase activity,2383.373342,0.324319753,0.098345734,3.297751117,0.000974625,0.098472365,NA,NA,175619,75099,2.45E-08,318309,5.29E-07
YOR079C,ATX2,chr15,473475,474416,"Manganese ion transmembrane transporter involved in manganese ion homeostasis; localizes to endoplasmic reticulum, Golgi membrane, trans-Golgi network, and late endosome",416.207076,0.329382887,0.079577594,4.139141071,3.49E-05,0.022627112,NA,NA,407924,65551,5.23E-08,1054799,5.14E-08
YJL173C,RFA3,chr10,96161,96529,"DNA binding subunit of replication protein A complex involved in DNA recombination, replication and repair processes, including telomere maintenance, nucleotide-excision repair, mitotic recombination and double-strand break repair; localized to condensed nuclear chromosome, telomeric regions of chromosomes",3317.2942,0.343146732,0.098575626,3.481050512,0.000499451,0.071972212,"96323, 96365, 96379, 96432","4.5921007729194E-12, 6.62E-12, 5.53E-12, 3.45E-10",NA,NA,NA,NA,NA
YCR015C,CTO1,chr3,141217,142170,Thiamine phosphate phosphatase involved in phosphate ion transport; cellular location is unknown,2036.479798,0.345181754,0.101974589,3.384978128,0.000711839,0.083344514,NA,NA,4395,136822,1.29E-11,268841,6.91E-21
YBL054W,TOD6,chr2,117589,119166,Sequence-specific DNA binding protein involved in regulation of RNA polymerase II transcription; subunit of the Rpd3L-Expanded chromatin remodeling histone deacetylase complex,2306.554523,0.348606083,0.102491693,3.401310597,0.000670636,0.081934204,NA,NA,9439,108150,1.08E-08,268913,5.01E-07
YHR071W,PCL5,chr8,237004,237693,Regulatory subunit of the cyclin-dependent PCL5-PHO85 kinase holoenzyme complex that positively controls degradation of transcription factor GCN4 under favorable growth conditions; also involved in regulation of macroautophagy; localizes to the nucleus,1424.47654,0.365491068,0.109244638,3.345620201,0.000820988,0.093453814,NA,NA,201673,35331,5.19E-08,467079,5.54E-07
YLR050C,EMA19,chr12,245587,246072,Integral ER membrane protein involved in protein targeting to mitochondrion,2079.483538,0.389347852,0.096446907,4.036913817,5.42E-05,0.025364443,NA,NA,150541,95046,2.64E-08,301171,1.03E-08
YDL097C,RPN6,chr4,285391,286695,Protein abundance increases in response to DNA replication stress,3141.665823,0.413549943,0.125584137,3.29301098,0.000991206,0.098472365,NA,NA,NA,NA,NA,319317,2.31E-07
YEL059C-A,SOM1,chr5,42400,42624,Subunit of mitochondrial inner membrane peptidase complex involved in proteolysis and mitochondrial respiratory chain complex assembly,673.9776773,0.420851181,0.10644107,3.95384206,7.69E-05,0.03087234,NA,NA,18949,23451,6.65E-13,63748,2.88E-07
YHR039C-A,VMA10,chr8,187173,187679,Subunit of V1 peripheral membrane domain of V-ATPase involved in vacuolar acidification; localizes to vacuole membrane,16392.59802,0.423665158,0.122693309,3.453042069,0.000554303,0.076820463,NA,NA,167570,19603,3.14E-08,201673,5.19E-08
YDR072C,IPT1,chr4,589761,591344,Membrane protein with transferase activity; involved in metabolism of mannosyl diphosphorylinositol ceramide and sphingolipids; has a role in negative regulation of autophagy,1028.865315,0.43480531,0.117260487,3.70802921,0.000208879,0.045149906,NA,NA,523790,65971,5.00E-08,757367,3.97E-07
YDR092W,UBC13,chr4,629876,630605,"Protein-binding subunit of ubiquitin conjugating enzyme complex; involved in protein polyubiquitination, free ubiquitin chain polymerization, and postreplication repair; localizes to nucleus and cytoplasm",2577.764765,0.451127905,0.109534743,4.118582769,3.81E-05,0.022627112,NA,NA,523790,106086,5.00E-08,757367,3.97E-07
YGL157W,ARI1,chr7,209006,210049,NADPH-dependent aldehyde reductase; localizes to cytoplasm and nucleus,1703.714088,0.452979506,0.12212168,3.709247251,0.000207876,0.045149906,NA,NA,158926,50080,3.80E-12,280162,4.45E-09
YLR110C,CCW12,chr12,369697,370098,Structural constituent of cell wall; involved in agglutination during conjugation and fungal cell wall organization; localizes to the bud tip and mating projection tip,309795.3042,0.47482226,0.12676057,3.745819851,0.000179806,0.045149906,NA,NA,329759,39938,1.15E-10,375290,1.42E-09
YPL189C-A,COA2,chr16,188307,188513,Protein involved in assembly of mitochondrial cytochrome c oxidase; localized to the mitochondrial matrix,1798.721286,0.482373911,0.144792838,3.331476315,0.000863867,0.093453814,NA,NA,134206,54101,4.86E-07,252286,4.08E-11
YER142C,MAG1,chr5,455146,456036,Damaged DNA-binding alkylbase DNA N-glycosylase involved in DNA repair,242.1311304,0.482601966,0.134570961,3.586226655,0.000335497,0.062849843,NA,NA,318309,136837,5.29E-07,561678,1.24E-09
YLR109W,AHP1,chr12,368781,369311,"Thioredoxin peroxidase involved in oxidative stress response, redox homeostasis, and response to metal ion; localizes to cytoplasm, cytosol and plasma membrane",57163.9854,0.483056332,0.132378657,3.649049955,0.000263212,0.052830393,NA,NA,329759,39022,1.15E-10,375290,1.42E-09
YOR287C,RRP36,chr15,850937,851839,"Subunit of small ribosomal subunit processome, variants 1, 2, and 3; involved in ribosomal RNA (rRNA) processing, maturation of Small SubUnit ribosomal RNA (SSU-rRNA) from tricistronic ribosomal RNA (rRNA) and ribosomal small subunit biogenesis; localized to the nucleolus and 90S preribosome",2172.739122,0.491126994,0.119612835,4.105972343,4.03E-05,0.022627112,NA,NA,407924,443013,5.23E-08,1054799,5.14E-08
YPR151C,SUE1,chr16,831055,831675,Protein involved in protein degradation; localized to the mitochondrial envelope,391.0653349,0.5130119,0.141289544,3.630926163,0.000282406,0.054728331,NA,NA,711691,119364,3.11E-09,926851,2.41E-08
YJL218W,YJL218W,chr10,21973,22563,"Mitochondrial protein, putative acetyltransferase; similar to bacterial galactoside O-acetyltransferases; induced by oleate in OAF1/PIP2-dependent manner; promoter contains oleate response element consensus sequence; mutation decreases salt tolerance; non-essential gene",194.3715848,0.51975557,0.152491183,3.408430312,0.000653378,0.081599617,NA,NA,NA,NA,NA,24779,3.14E-07
YDR380W,ARO10,chr4,1234218,1236125,"Phenylpyruvate decarboxylase involved in the catabolism of aromatic amino acids, branched-chain amino acids, and methionine via the Ehrlich pathway; localizes to the cytosol in high-throughput studies",975.6999173,0.534688766,0.161592235,3.308876598,0.000936711,0.098310145,NA,NA,1163959,70259,2.29E-07,1308631,1.29E-19
YKL096W,CWP1,chr11,261132,261851,"A structural constituent of the cell wall involved in both fungal-type cell wall organization and ascospore-type prospore membrane assembly; localized in the cell wall, cellular birth scar, and prospore membrane",5433.704386,0.534724102,0.117284421,4.559208277,5.13E-06,0.009618973,NA,NA,226258,34874,8.33E-11,355603,2.49E-13
YBR105C,VID24,chr2,450881,451969,Subunit of GID (Glucose Induced degradation Deficient) complex; involved in negative regulation of gluconeogenesis via proteasome-mediated ubiquitin-dependent protein catabolic process,640.8510498,0.540870338,0.153691787,3.519188298,0.000432869,0.06909513,NA,NA,415599,35282,2.23E-07,532411,6.90E-07
YLR303W,MET17,chr12,732542,733876,Bifunctional enzyme with O-acetylserine and O-acetylhomoserine sulfhydrylase activities involved in methionine and cysteine metabolism; catalyses the reaction between acetylated serine or homoserine with thiol to produce the corresponding amino acids; localized to the cytoplasm and plasma membrane,5934.345291,0.550312891,0.1075337,5.117585374,3.09E-07,0.001739233,NA,NA,613771,118771,2.05E-07,793724,2.88E-21
YDL110C,TMA17,chr4,264512,264964,Protein-macromolecule adaptor involved in proteasome regulatory particle assembly and fatty acid biosynthesis; subunit of fatty acid synthase complex,969.6557839,0.567311789,0.161179613,3.519749037,0.000431955,0.06909513,NA,NA,NA,NA,NA,319317,2.31E-07
YLR216C,CPR6,chr12,572096,573211,Peptidyl-prolyl cis-trans isomerase that converts peptide bonds located next to proline residues between cis and trans configuration; involved in folding of several proteins including Hsp90; localized to the cytoplasm,4436.599927,0.589405158,0.125428027,4.699150376,2.61E-06,0.007341014,NA,NA,451257,120839,1.85E-12,592887,1.96E-07
YNL111C,CYB5,chr14,416940,417302,Electron donor for sterol C5-6 desaturation in sterol biosynthesis; localized to ER membrane,6325.700568,0.625131355,0.16444878,3.801374241,0.000143896,0.044927457,NA,NA,282751,134189,9.09E-13,704450,9.76E-17
YJL037W,IRC18,chr10,376662,377336,Vacuolar protein involved in ascospore wall assembly,164.2530245,0.686306247,0.19375802,3.542079182,0.000396986,0.06909513,NA,NA,367212,9450,4.42E-07,400207,1.55E-13
YAL005C,SSA1,chr1,139503,141431,"ATPase involved in protein folding, nuclear import, stress granule disassembly, and clathrin coat disassembly; localizes to many places in the cell, including the cell wall, vacuolar and plasma membranes, and the nucleus",5527.849119,0.691112989,0.185840282,3.718854598,0.000200128,0.045149906,NA,NA,1536,137967,3.56E-15,176694,7.96E-08
YNR066C,YNR066C,chr14,753725,755035,Predicted integral membrane protein whose biological role is unknown,44.37117631,0.840167119,0.235405702,3.56901771,0.000358322,0.064960348,NA,NA,753290,435,1.63E-09,NA,NA
YMR191W,SPG5,chr13,645656,646777,Proteasome-binding protein involved in proteasome assembly,78.17832108,0.852947654,0.247597452,3.444896735,0.000571278,0.076820463,NA,NA,633893,11763,5.38E-07,653809,2.46E-07
YOR382W,FIT2,chr15,1059531,1059992,"Protein involved in siderophore transport; localizes to cell wall, vacuole and cell periphery",2461.978961,1.007601418,0.286797509,3.513285116,0.000442602,0.06909513,NA,NA,1057081,2450,6.12E-10,1069076,8.14E-08
YDR543C,YDR543C,chr4,1524634,1524933,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",20.87600506,1.170317689,0.266098931,4.398054823,1.09E-05,0.015346168,NA,NA,1523087,1547,2.12E-08,NA,NA
,,,,,,,,,,,,,,,,,,
threshold cutoff  is 6.927319e-07,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Supplementary Table X: All differentially expressed genes (p<0.1, FDR correction). This table shows the location of each transcript within the genome, results data generated from the DEG analysis, and the relationship of each transcript to the closest gene variants identified in the genome-wide analysis. ( Large table saved as a .csv)",,,,,,,,,,,,,,,,,,
