"","Gene_ID","n_SNPs","n_in_exons","n_introns","n_upstream","n_downstream","n_nonsynonymous","n_synonymous","n_modifer","n_low_impact","n_mod_impact","n_high_impact","effects","max_upstream_dist","min_upstream_dist","CHROM","n_in_gene","gene_length","gene_length_kb","n_in_gene_per_kb","up_to_in_ratio","up_to_in_per_kb_ratio","In_sigs","n_in_gene_per_kb_tf"
"42","YAL009W",3,3,0,0,0,2,1,0,1,2,0,"synonymous_variant;missense_variant",NA,NA,"I",3,780,0.78,3.84615384615385,0,0,FALSE,1.96116135138184
"43","YAL010C",13,12,0,1,0,4,8,1,8,4,0,"synonymous_variant;missense_variant;upstream_gene_variant",162,162,"I",12,1482,1.482,8.09716599190283,0.0833333333333333,0.1235,FALSE,2.84555196612236
"44","YAL011W",14,14,0,0,0,5,9,0,9,5,0,"synonymous_variant;missense_variant",NA,NA,"I",14,1878,1.878,7.45473908413206,0,0,FALSE,2.73033680781915
"45","YAL012W",6,6,0,0,0,1,5,0,5,1,0,"synonymous_variant;missense_variant",NA,NA,"I",6,1185,1.185,5.06329113924051,0,0,FALSE,2.25017580185205
"46","YAL013W",7,7,0,0,0,3,4,0,4,3,0,"synonymous_variant;missense_variant",NA,NA,"I",7,1218,1.218,5.74712643678161,0,0,FALSE,2.39731650742692
"47","YAL014C",6,6,0,0,0,2,4,0,4,2,0,"synonymous_variant;missense_variant",NA,NA,"I",6,768,0.768,7.8125,0,0,FALSE,2.79508497187474
"48","YAL015C",10,10,0,0,0,2,8,0,8,2,0,"synonymous_variant;missense_variant",NA,NA,"I",10,1200,1.2,8.33333333333333,0,0,FALSE,2.88675134594813
"49","YAL016C-A",2,2,0,0,0,2,0,0,0,2,0,"missense_variant",NA,NA,"I",2,NA,NA,NA,0,NA,FALSE,NA
"50","YAL016C-B",12,6,0,6,0,4,2,6,2,4,0,"synonymous_variant;missense_variant;upstream_gene_variant",227,75,"I",6,NA,NA,NA,1,NA,FALSE,NA
"51","YAL016W",14,14,0,0,0,1,13,0,13,1,0,"synonymous_variant;missense_variant",NA,NA,"I",14,1908,1.908,7.33752620545073,0,0,FALSE,2.70878685124
"52","YAL017W",29,29,0,0,0,6,23,0,23,6,0,"missense_variant;synonymous_variant",NA,NA,"I",29,4071,4.071,7.12355686563498,0,0,FALSE,2.66899922548415
"53","YAL018C",10,10,0,0,0,2,8,0,8,2,0,"synonymous_variant;missense_variant",NA,NA,"I",10,978,0.978,10.2249488752556,0,0,FALSE,3.1976473969554
"54","YAL019W",34,34,0,0,0,3,31,0,31,3,0,"missense_variant;synonymous_variant",NA,NA,"I",34,3396,3.396,10.0117785630153,0,0,FALSE,3.16413946642927
"55","YAL019W-A",3,3,0,0,0,2,0,0,0,2,1,"stop_gained;missense_variant",NA,NA,"I",3,NA,NA,NA,0,NA,FALSE,NA
"56","YAL020C",13,13,0,0,0,5,8,0,8,5,0,"synonymous_variant;missense_variant",NA,NA,"I",13,1002,1.002,12.9740518962076,0,0,FALSE,3.60195112351731
"57","YAL021C",27,27,0,0,0,6,21,0,21,6,0,"missense_variant;synonymous_variant",NA,NA,"I",27,2514,2.514,10.7398568019093,0,0,FALSE,3.27717207389379
"58","YAL022C",17,17,0,0,0,3,14,0,14,3,0,"synonymous_variant;missense_variant",NA,NA,"I",17,1554,1.554,10.9395109395109,0,0,FALSE,3.3074931503347
"59","YAL023C",13,13,0,0,0,0,13,0,13,0,0,"synonymous_variant",NA,NA,"I",13,2280,2.28,5.70175438596491,0,0,FALSE,2.3878346647046
"60","YAL024C",29,28,0,1,0,8,20,1,20,8,0,"missense_variant;synonymous_variant;upstream_gene_variant",284,284,"I",28,4308,4.308,6.49953574744661,0.0357142857142857,0.153857142857143,FALSE,2.54941870775411
"61","YAL025C",2,2,0,0,0,0,2,0,2,0,0,"synonymous_variant",NA,NA,"I",2,921,0.921,2.17155266015201,0,0,FALSE,1.47361889922463
"62","YAL026C",20,20,0,0,0,4,16,0,16,4,0,"synonymous_variant;missense_variant",NA,NA,"I",20,4068,4.068,4.91642084562439,0,0,FALSE,2.21730035079246
"63","YAL026C-A",5,5,0,0,0,4,0,0,0,4,1,"stop_lost&splice_region_variant;missense_variant",NA,NA,"I",5,NA,NA,NA,0,NA,FALSE,NA
"64","YAL027W",18,18,0,0,0,5,13,0,13,5,0,"missense_variant;synonymous_variant",NA,NA,"I",18,786,0.786,22.9007633587786,0,0,FALSE,4.78547420417022
"65","YAL028W",21,21,0,0,0,8,13,0,13,8,0,"missense_variant;synonymous_variant",NA,NA,"I",21,1587,1.587,13.2325141776938,0,0,FALSE,3.63765228927859
"66","YAL029C",46,38,0,8,0,13,25,8,25,13,0,"missense_variant;synonymous_variant;upstream_gene_variant",621,40,"I",38,4416,4.416,8.60507246376812,0.210526315789474,0.929684210526316,FALSE,2.93344038012844
"67","YAL030W",3,3,0,0,0,0,3,0,3,0,0,"synonymous_variant",NA,NA,"I",3,467,0.467,6.42398286937901,0,0,FALSE,2.53455772658249
"68","YAL031C",16,16,0,0,0,6,10,0,10,6,0,"synonymous_variant;missense_variant",NA,NA,"I",16,2283,2.283,7.00832238282961,0,0,FALSE,2.64732362638753
"69","YAL031W-A",2,2,0,0,0,2,0,0,0,2,0,"missense_variant",NA,NA,"I",2,NA,NA,NA,0,NA,FALSE,NA
"70","YAL032C",11,11,0,0,0,6,4,0,4,6,1,"stop_lost&splice_region_variant;synonymous_variant;missense_variant",NA,NA,"I",11,1140,1.14,9.64912280701754,0,0,FALSE,3.10630372098698
"71","YAL033W",3,3,0,0,0,0,3,0,3,0,0,"synonymous_variant",NA,NA,"I",3,522,0.522,5.74712643678161,0,0,FALSE,2.39731650742692
"72","YAL034C",6,6,0,0,0,1,5,0,5,1,0,"synonymous_variant;missense_variant",NA,NA,"I",6,1242,1.242,4.83091787439614,0,0,FALSE,2.19793491131929
"73","YAL034C-B",3,3,0,0,0,2,1,0,1,2,0,"missense_variant;synonymous_variant",NA,NA,"I",3,NA,NA,NA,0,NA,FALSE,NA
"74","YAL034W-A",3,3,0,0,0,0,3,0,3,0,0,"synonymous_variant",NA,NA,"I",3,870,0.87,3.44827586206897,0,0,FALSE,1.85695338177052
"75","YAL035W",26,26,0,0,0,7,19,0,19,7,0,"missense_variant;synonymous_variant",NA,NA,"I",26,3009,3.009,8.64074443336657,0,0,FALSE,2.93951431929946
"76","YAL036C",10,10,0,0,0,0,10,0,10,0,0,"synonymous_variant",NA,NA,"I",10,1110,1.11,9.00900900900901,0,0,FALSE,3.00150112593832
"77","YAL037C-A",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"I",1,93,0.093,10.752688172043,0,0,FALSE,3.27912917891976
"78","YAL037C-B",3,3,0,0,0,3,0,0,0,3,0,"missense_variant",NA,NA,"I",3,NA,NA,NA,0,NA,FALSE,NA
"79","YAL037W",7,7,0,0,0,4,3,0,3,4,0,"synonymous_variant;missense_variant",NA,NA,"I",7,804,0.804,8.70646766169154,0,0,FALSE,2.95067240839974
"80","YAL038W",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"I",1,1503,1.503,0.665335994677312,0,0,FALSE,0.815681307053994
"81","YAL039C",7,7,0,0,0,2,5,0,5,2,0,"synonymous_variant;missense_variant",NA,NA,"I",7,810,0.81,8.64197530864197,0,0,FALSE,2.93972367896066
"82","YAL040C",12,11,0,1,0,3,8,1,8,3,0,"synonymous_variant;missense_variant;upstream_gene_variant",195,195,"I",11,1743,1.743,6.31095811818703,0.0909090909090909,0.158454545454545,FALSE,2.51216204059114
"83","YAL041W",20,20,0,0,0,3,17,0,17,3,0,"synonymous_variant;missense_variant",NA,NA,"I",20,2565,2.565,7.79727095516569,0,0,FALSE,2.7923593886113
"84","YAL042C-A",3,3,0,0,0,1,2,0,2,1,0,"synonymous_variant;missense_variant",NA,NA,"I",3,NA,NA,NA,0,NA,FALSE,NA
"85","YAL042W",7,7,0,0,0,1,6,0,6,1,0,"synonymous_variant;missense_variant",NA,NA,"I",7,1248,1.248,5.60897435897436,0,0,FALSE,2.36832733357835
"86","YAL043C",16,16,0,0,0,3,13,0,13,3,0,"synonymous_variant;missense_variant",NA,NA,"I",16,2358,2.358,6.78541136556404,0,0,FALSE,2.60488221721521
"87","YAL045C",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"I",1,NA,NA,NA,0,NA,FALSE,NA
"88","YAL046C",2,2,0,0,0,1,1,0,1,1,0,"synonymous_variant;missense_variant",NA,NA,"I",2,357,0.357,5.60224089635854,0,0,FALSE,2.36690534165575
"89","YAL047C",23,23,0,0,0,10,13,0,13,10,0,"synonymous_variant;missense_variant",NA,NA,"I",23,1869,1.869,12.3060460139112,0,0,FALSE,3.50799743641742
"90","YAL047W-A",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"I",1,NA,NA,NA,0,NA,FALSE,NA
"91","YAL048C",13,13,0,0,0,1,12,0,12,1,0,"synonymous_variant;missense_variant",NA,NA,"I",13,1989,1.989,6.5359477124183,0,0,FALSE,2.55654996282457
"92","YAL049C",3,1,0,2,0,0,1,2,1,0,0,"synonymous_variant;upstream_gene_variant",86,75,"I",1,741,0.741,1.34952766531714,2,1.482,FALSE,1.16169172559554
"93","YAL051W",40,40,0,0,0,8,32,0,32,8,0,"missense_variant;synonymous_variant",NA,NA,"I",40,3144,3.144,12.7226463104326,0,0,FALSE,3.56688187503211
"94","YAL053W",23,23,0,0,0,1,22,0,22,1,0,"missense_variant;synonymous_variant",NA,NA,"I",23,2352,2.352,9.77891156462585,0,0,FALSE,3.12712512775326
"95","YAL054C",19,13,0,6,0,1,12,6,12,1,0,"synonymous_variant;missense_variant;upstream_gene_variant",809,2,"I",13,2142,2.142,6.06909430438842,0.461538461538462,0.988615384615385,FALSE,2.46355318683978
"96","YAL055W",8,8,0,0,0,3,5,0,5,3,0,"synonymous_variant;missense_variant",NA,NA,"I",8,543,0.543,14.7329650092081,0,0,FALSE,3.83835446633165
"97","YAL056W",17,17,0,0,0,4,13,0,13,4,0,"synonymous_variant;missense_variant",NA,NA,"I",17,2643,2.643,6.43208475217556,0,0,FALSE,2.53615550630784
"98","YAL058W",13,13,0,0,0,7,6,0,6,7,0,"missense_variant;synonymous_variant",NA,NA,"I",13,1509,1.509,8.61497680583168,0,0,FALSE,2.93512807315655
"99","YAL059C-A",8,7,0,1,0,2,5,1,5,2,0,"synonymous_variant;missense_variant;upstream_gene_variant",376,376,"I",7,NA,NA,NA,0.142857142857143,NA,FALSE,NA
"100","YAL059W",5,4,0,1,0,2,1,1,1,2,1,"upstream_gene_variant;stop_gained;synonymous_variant;missense_variant",75,75,"I",4,639,0.639,6.25978090766823,0.25,0.15975,FALSE,2.50195541680267
"101","YAL060W",25,19,0,6,0,5,14,6,14,5,0,"upstream_gene_variant;synonymous_variant;missense_variant",207,26,"I",19,1149,1.149,16.5361183637946,0.31578947368421,0.362842105263158,FALSE,4.06646263523896
"102","YAL061W",20,11,0,9,0,2,9,9,9,2,0,"upstream_gene_variant;missense_variant;synonymous_variant",459,100,"I",11,1254,1.254,8.7719298245614,0.818181818181818,1.026,FALSE,2.96174438879546
"103","YAL062W",15,15,0,0,0,0,15,0,15,0,0,"synonymous_variant",NA,NA,"I",15,1374,1.374,10.9170305676856,0,0,FALSE,3.30409300227545
"104","YAL063C",132,67,0,65,0,30,37,65,37,30,0,"synonymous_variant;missense_variant;upstream_gene_variant",962,2,"I",67,3969,3.969,16.8808264046359,0.970149253731343,3.8505223880597,FALSE,4.10862828747454
"105","YAL063C-A",12,1,0,11,0,1,0,11,0,1,0,"missense_variant;upstream_gene_variant",996,73,"I",1,291,0.291,3.43642611683849,11,3.201,FALSE,1.85375999440016
"106","YAL064C-A",21,21,0,0,0,12,9,0,9,12,0,"missense_variant;synonymous_variant",NA,NA,"I",21,381,0.381,55.1181102362205,0,0,FALSE,7.4241572071327
"107","YAL064W",21,11,0,6,4,8,3,10,3,8,0,"upstream_gene_variant;missense_variant;synonymous_variant;downstream_gene_variant",612,25,"I",11,285,0.285,38.5964912280702,0.545454545454545,0.155454545454545,FALSE,6.21260744197396
"108","YAL064W-B",9,9,0,0,0,3,6,0,6,3,0,"synonymous_variant;missense_variant",NA,NA,"I",9,381,0.381,23.6220472440945,0,0,FALSE,4.86025176756251
"109","YAL065C",17,17,0,0,0,8,9,0,9,8,0,"missense_variant;synonymous_variant",NA,NA,"I",17,387,0.387,43.9276485788114,0,0,FALSE,6.62779364334854
"110","YAL066W",1,1,0,0,0,0,0,0,0,0,1,"stop_gained",NA,NA,"I",1,NA,NA,NA,0,NA,FALSE,NA
"111","YAL067C",10,2,0,8,0,1,1,8,1,1,0,"missense_variant;synonymous_variant;upstream_gene_variant",894,27,"I",2,1782,1.782,1.12233445566779,4,7.128,FALSE,1.05940287693955
"112","YAL067W-A",25,8,0,17,0,3,5,17,5,3,0,"upstream_gene_variant;missense_variant;synonymous_variant",997,678,"I",8,228,0.228,35.0877192982456,2.125,0.4845,FALSE,5.92348877759092
"113","YAL068C",37,1,0,36,0,0,1,36,1,0,0,"synonymous_variant;upstream_gene_variant",801,38,"I",1,363,0.363,2.75482093663912,36,13.068,FALSE,1.65976532577323
"114","YAL068W-A",7,7,0,0,0,5,2,0,2,5,0,"missense_variant;synonymous_variant",NA,NA,"I",7,NA,NA,NA,0,NA,FALSE,NA
"115","YAL069W",22,10,0,12,0,5,4,12,4,5,1,"upstream_gene_variant;synonymous_variant;missense_variant;stop_gained",224,30,"I",10,NA,NA,NA,1.2,NA,FALSE,NA
"116","YAR002C-A",2,2,0,0,0,0,2,0,2,0,0,"synonymous_variant",NA,NA,"I",2,660,0.66,3.03030303030303,0,0,FALSE,1.74077655955698
"117","YAR002W",5,5,0,0,0,5,0,0,0,5,0,"missense_variant",NA,NA,"I",5,1620,1.62,3.08641975308642,0,0,FALSE,1.75682092231577
"118","YAR003W",3,3,0,0,0,1,2,0,2,1,0,"missense_variant;synonymous_variant",NA,NA,"I",3,1281,1.281,2.34192037470726,0,0,FALSE,1.5303334194571
"119","YAR007C",11,11,0,0,0,1,10,0,10,1,0,"synonymous_variant;missense_variant",NA,NA,"I",11,1866,1.866,5.89496248660236,0,0,FALSE,2.42795438313869
"120","YAR008W",4,4,0,0,0,1,3,0,3,1,0,"missense_variant;synonymous_variant",NA,NA,"I",4,828,0.828,4.83091787439614,0,0,FALSE,2.19793491131929
"121","YAR009C",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"I",1,3591,3.591,0.278473962684489,0,0,FALSE,0.52770632238442
"122","YAR014C",8,8,0,0,0,4,4,0,4,4,0,"synonymous_variant;missense_variant",NA,NA,"I",8,2130,2.13,3.75586854460094,0,0,FALSE,1.93800633244604
"123","YAR015W",3,3,0,0,0,0,3,0,3,0,0,"synonymous_variant",NA,NA,"I",3,921,0.921,3.25732899022801,0,0,FALSE,1.80480718921108
"124","YAR018C",3,3,0,0,0,0,3,0,3,0,0,"synonymous_variant",NA,NA,"I",3,1308,1.308,2.29357798165138,0,0,FALSE,1.51445633203846
"125","YAR019C",12,12,0,0,0,2,10,0,10,2,0,"synonymous_variant;missense_variant",NA,NA,"I",12,2925,2.925,4.1025641025641,0,0,FALSE,2.02547873416733
"126","YAR019W-A",3,3,0,0,0,3,0,0,0,3,0,"missense_variant",NA,NA,"I",3,NA,NA,NA,0,NA,FALSE,NA
"127","YAR020C",2,2,0,0,0,0,1,0,1,0,1,"stop_lost&splice_region_variant;synonymous_variant",NA,NA,"I",2,168,0.168,11.9047619047619,0,0,FALSE,3.45032779671177
"128","YAR023C",8,8,0,0,0,5,3,0,3,5,0,"synonymous_variant;missense_variant",NA,NA,"I",8,540,0.54,14.8148148148148,0,0,FALSE,3.8490017945975
"129","YAR027W",11,11,0,0,0,7,4,0,4,7,0,"missense_variant;synonymous_variant",NA,NA,"I",11,708,0.708,15.5367231638418,0,0,FALSE,3.94166502430658
"130","YAR028W",3,3,0,0,0,2,1,0,1,2,0,"synonymous_variant;missense_variant",NA,NA,"I",3,705,0.705,4.25531914893617,0,0,FALSE,2.06284249251759
"131","YAR029W",14,14,0,0,0,9,5,0,5,9,0,"synonymous_variant;missense_variant",NA,NA,"I",14,225,0.225,62.2222222222222,0,0,FALSE,7.88810637746615
"132","YAR030C",13,7,0,6,0,4,2,6,2,4,1,"stop_gained;missense_variant;synonymous_variant;upstream_gene_variant",949,933,"I",7,NA,NA,NA,0.857142857142857,NA,FALSE,NA
"133","YAR031W",27,27,0,0,0,17,8,0,8,17,2,"missense_variant;stop_gained;synonymous_variant",NA,NA,"I",27,897,0.897,30.1003344481605,0,0,FALSE,5.48637716969591
"134","YAR033W",17,17,0,0,0,8,9,0,9,8,0,"synonymous_variant;missense_variant",NA,NA,"I",17,705,0.705,24.113475177305,0,0,FALSE,4.91054733989043
"135","YAR035C-A",3,1,0,2,0,0,1,2,1,0,0,"synonymous_variant;upstream_gene_variant",114,12,"I",1,81,0.081,12.3456790123457,2,0.162,FALSE,3.51364184463153
"136","YAR035W",14,14,0,0,0,2,12,0,12,2,0,"synonymous_variant;missense_variant",NA,NA,"I",14,2064,2.064,6.78294573643411,0,0,FALSE,2.60440890346238
"137","YAR042W",33,33,0,0,0,12,21,0,21,12,0,"synonymous_variant;missense_variant",NA,NA,"I",33,3567,3.567,9.25147182506308,0,0,FALSE,3.04162322207454
"138","YAR047C",16,0,0,16,0,0,0,16,0,0,0,"upstream_gene_variant",999,876,"I",0,NA,NA,NA,NA,NA,FALSE,NA
"139","YAR050W",65,65,0,0,0,26,39,0,39,26,0,"missense_variant;synonymous_variant",NA,NA,"I",65,4614,4.614,14.0875596012137,0,0,FALSE,3.75333979293292
"140","YAR070C",1,1,0,0,0,1,0,0,0,1,0,"missense_variant",NA,NA,"I",1,NA,NA,NA,0,NA,FALSE,NA
"141","YAR071W",7,7,0,0,0,0,7,0,7,0,0,"synonymous_variant",NA,NA,"I",7,1404,1.404,4.98575498575499,0,0,FALSE,2.23288042352361
"142","YAR073W",2,2,0,0,0,1,1,0,1,1,0,"synonymous_variant;missense_variant",NA,NA,"I",2,NA,NA,NA,0,NA,FALSE,NA
"143","YAR075W",1,1,0,0,0,0,1,0,1,0,0,"synonymous_variant",NA,NA,"I",1,NA,NA,NA,0,NA,FALSE,NA
"144","YBL001C",2,2,0,0,0,0,2,0,2,0,0,"synonymous_variant",NA,NA,"II",2,315,0.315,6.34920634920635,0,0,FALSE,2.51976315339485
"145","YBL002W",2,2,0,0,0,0,2,0,2,0,0,"synonymous_variant",NA,NA,"II",2,396,0.396,5.05050505050505,0,0,FALSE,2.24733287487747
"146","YBL003C",13,1,0,12,0,0,1,12,1,0,0,"synonymous_variant;upstream_gene_variant",697,53,"II",1,399,0.399,2.5062656641604,12,4.788,FALSE,1.58311896715326
"147","YBL004W",43,38,0,5,0,17,21,5,21,17,0,"upstream_gene_variant;synonymous_variant;missense_variant",435,105,"II",38,7482,7.482,5.07885592087677,0.131578947368421,0.984473684210526,FALSE,2.25363171811119
"148","YBL005W",22,22,0,0,0,4,18,0,18,4,0,"missense_variant;synonymous_variant",NA,NA,"II",22,2931,2.931,7.50597065847833,0,0,FALSE,2.73970265877126
"149","YBL005W-A",3,3,0,0,0,2,1,0,1,2,0,"missense_variant;synonymous_variant",NA,NA,"II",3,1323,1.323,2.26757369614512,0,0,FALSE,1.50584650484209
"150","YBL006C",8,8,0,0,0,3,5,0,5,3,0,"missense_variant;synonymous_variant",NA,NA,"II",8,543,0.543,14.7329650092081,0,0,FALSE,3.83835446633165
"151","YBL007C",36,32,0,4,0,13,19,4,19,13,0,"synonymous_variant;missense_variant;upstream_gene_variant",994,147,"II",32,3735,3.735,8.56760374832664,0.125,0.466875,FALSE,2.92704693305841
"152","YBL008W",13,13,0,0,0,3,10,0,10,3,0,"synonymous_variant;missense_variant",NA,NA,"II",13,2523,2.523,5.15259611573524,0,0,FALSE,2.26993306415305
"153","YBL008W-A",1,1,0,0,0,0,0,0,0,0,1,"stop_gained",NA,NA,"II",1,240,0.24,4.16666666666667,0,0,FALSE,2.04124145231932
