# Program:featureCounts v1.6.3; Command:"featureCounts" "-F" "GFF" "-t" "mRNA" "-g" "Parent" "-s" "1" "-a" "yeast.2023.mRNA.sgd.gff" "-o" "gene_count_matrix.txt" "RNAseq_OLD_rep01.bam" "RNAseq_OLD_rep02.bam" "RNAseq_OLD_rep03.bam" "RNAseq_OLD_rep04.bam" "RNAseq_OLD_rep05.bam" "RNAseq_OLD_rep06.bam" "RNAseq_OLD_rep07.bam" "RNAseq_OLD_rep08.bam" "RNAseq_OLD_rep09.bam" "RNAseq_OLD_rep10.bam" "RNAseq_OLD_rep11.bam" "RNAseq_OLD_rep12.bam" "RNAseq_YOUNG_rep01.bam" "RNAseq_YOUNG_rep02.bam" "RNAseq_YOUNG_rep03.bam" "RNAseq_YOUNG_rep04.bam" "RNAseq_YOUNG_rep05.bam" "RNAseq_YOUNG_rep06.bam" "RNAseq_YOUNG_rep07.bam" "RNAseq_YOUNG_rep08.bam" "RNAseq_YOUNG_rep09.bam" "RNAseq_YOUNG_rep10.bam" "RNAseq_YOUNG_rep11.bam" "RNAseq_YOUNG_rep12.bam" 
Geneid	Chr	Start	End	Strand	Length	RNAseq_OLD_rep01.bam	RNAseq_OLD_rep02.bam	RNAseq_OLD_rep03.bam	RNAseq_OLD_rep04.bam	RNAseq_OLD_rep05.bam	RNAseq_OLD_rep06.bam	RNAseq_OLD_rep07.bam	RNAseq_OLD_rep08.bam	RNAseq_OLD_rep09.bam	RNAseq_OLD_rep10.bam	RNAseq_OLD_rep11.bam	RNAseq_OLD_rep12.bam	RNAseq_YOUNG_rep01.bam	RNAseq_YOUNG_rep02.bam	RNAseq_YOUNG_rep03.bam	RNAseq_YOUNG_rep04.bam	RNAseq_YOUNG_rep05.bam	RNAseq_YOUNG_rep06.bam	RNAseq_YOUNG_rep07.bam	RNAseq_YOUNG_rep08.bam	RNAseq_YOUNG_rep09.bam	RNAseq_YOUNG_rep10.bam	RNAseq_YOUNG_rep11.bam	RNAseq_YOUNG_rep12.bam
YAL029C	chrI	87855	92270	-	4416	1098	1168	1199	1282	1027	1047	720	743	523	778	983	806	1069	1285	963	1265	1001	877	886	842	958	889	816	535
YAL028W	chrI;chrI	92409;92852	94529;94566	+;+	2158	196	209	120	192	137	242	82	100	76	58	125	107	135	218	133	189	119	94	242	122	154	178	155	106
YAL027W	chrI;chrI	94595;94595	95578;95583	+;+	989	204	176	248	214	285	272	207	234	161	174	297	178	263	366	185	294	148	220	248	265	302	297	193	162
YAL026C-A	chrI	95386	95823	-	438	165	46	155	110	189	244	82	147	69	117	213	177	150	254	92	221	80	137	280	198	198	243	130	165
YAL026C	chrI	95630	99697	-	4068	175	249	213	200	179	148	261	74	73	140	223	119	172	243	142	230	135	183	169	107	145	183	145	138
YAL025C	chrI;chrI	99939;99945	101168;101168	-;-	1230	5171	5050	6290	7419	6604	5658	4316	4432	3223	3913	5392	4832	6746	8571	5188	8454	4252	6379	6327	5425	6149	4419	4218	3881
YAL024C	chrI	101565	105872	-	4308	569	733	774	749	628	791	563	731	444	553	957	638	685	847	635	949	575	675	694	610	799	687	594	420
YAL023C	chrI;chrI	106141;106143	108718;108671	-;-	2578	2112	1949	1896	2092	1748	2702	929	1414	856	1910	2027	1513	2443	3302	1731	2612	1788	1688	2291	1756	1811	1985	1591	1266
YAL022C	chrI;chrI	108731;108732	110463;110471	-;-	1741	489	659	599	602	479	446	587	367	183	398	463	306	408	586	389	525	401	358	581	303	395	384	345	315
YAL021C	chrI;chrI	110536;110536	113406;113403	-;-	2871	451	326	394	386	359	481	130	271	135	234	393	208	528	596	297	526	244	283	517	348	358	396	306	224
YAL020C	chrI;chrI	113468;113537	114624;114672	-;-	1205	127	228	157	176	127	148	222	129	102	188	141	104	160	202	166	188	181	155	200	164	134	169	102	107
YAL019W-A	chrI	114250	114819	+	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL019W	chrI	114788	118363	+	3576	1741	1925	2287	2436	2059	2224	1813	1333	819	1117	1956	1680	2209	3016	1445	2877	1289	1639	1982	1577	2382	2042	1444	1235
YAL018C	chrI	118426	119591	-	1166	5	2	9	6	8	11	6	0	6	1	11	5	7	7	3	7	3	11	5	25	9	11	4	2
YAL017W	chrI	120225	124295	+	4071	187	174	135	146	114	217	115	89	63	131	130	98	178	250	145	167	152	134	149	111	138	159	135	132
YAL016C-B	chrI	124307	124492	-	186	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
YAL016C-A	chrI	124755	125069	-	315	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0
YAL016W	chrI;chrI	124786;124786	126880;126883	+;+	2098	1232	901	1276	1283	1536	1298	626	1148	670	1090	1531	1201	1331	1712	1009	1292	1011	973	1222	1241	1357	1238	1289	935
YAL015C	chrI;chrI	126756;126756	128108;128110	-;-	1355	268	239	203	242	260	232	169	145	153	293	228	266	204	313	215	199	218	210	226	238	238	190	179	130
YAL014C	chrI;chrI	128031;128061	129072;129072	-;-	1042	357	358	435	486	405	703	224	411	264	311	429	334	593	720	469	437	464	356	461	423	419	553	364	329
YAL013W	chrI;chrI	129194;129213	130583;130593	+;+	1400	859	1133	1290	1297	1103	1110	1034	907	470	528	1094	783	1065	1383	758	1266	702	1288	1343	881	1073	966	940	691
YAL012W	chrI;chrI	130436;130686	132082;132100	+;+	1665	15178	17558	17476	19000	18172	18448	15099	18157	14975	14651	20350	17216	20071	21551	18263	22317	16404	17780	24648	19383	20361	17945	20714	19461
YAL011W	chrI;chrI	132169;132195	134210;134210	+;+	2042	880	780	850	1059	951	1170	875	738	419	775	1185	933	930	1215	670	1292	555	968	1236	911	896	905	872	616
YAL010C	chrI;chrI	134001;134075	135688;135743	-;-	1743	101	127	123	102	105	179	60	152	40	77	134	101	117	187	55	99	50	123	194	127	173	154	100	97
YAL009W	chrI;chrI	135408;135815	136766;136780	+;+	1373	10	0	2	2	3	11	5	0	1	1	3	6	10	11	1	2	0	0	3	0	7	0	8	3
YAL008W	chrI;chrI	136431;136815	137637;137718	+;+	1288	222	129	153	101	174	307	51	82	47	145	133	142	199	219	201	134	189	107	82	76	87	135	70	76
YAL007C	chrI;chrI	137408;137413	138414;138453	-;-	1046	2752	2550	2720	2852	2734	3471	2210	3090	2055	2346	3332	2736	3347	4353	3204	2838	3084	2644	2943	2560	2995	3153	2808	2548
YAL005C	chrI;chrI	139357;139381	141678;141684	-;-	2328	2570	1605	3072	3505	3251	5016	1110	5762	4839	9248	7780	9607	5506	6246	5791	4998	4842	5079	5800	4199	5953	14292	10516	7339
YAL004W	chrI;chrI	137649;138797	142140;142152	+;+	4504	98	93	110	163	102	91	109	72	70	46	89	56	83	92	67	78	53	102	132	68	121	114	124	94
YAL003W	chrI;chrI	142032;142141	143459;143496	+;+	1465	80508	66296	90445	96744	101107	94455	90010	114014	68639	76472	128653	104955	103052	115418	84700	103426	70313	83050	122103	104529	109064	105621	97839	91526
YAL002W	chrI	143550	147630	+	4081	371	340	327	326	242	420	95	245	72	197	289	180	311	433	229	335	249	207	220	195	296	196	170	213
YAL001C	chrI	147594	151166	-	3573	688	773	574	603	359	719	332	379	296	504	705	442	596	919	536	629	594	471	470	306	414	535	393	430
YAR002W	chrI;chrI	152204;152215	154085;154114	+;+	1911	1206	1111	1671	1629	1509	2120	1384	1511	946	877	1783	1194	1873	2643	1557	1780	1322	1311	2093	1796	1904	1682	1532	1195
YAR002C-A	chrI;chrI	153765;153808	154740;154750	-;-	986	2718	1494	3762	3654	3674	5046	1594	5379	2796	3147	5607	3560	5393	6317	4511	4761	3436	3936	5586	4537	5371	5315	4974	3919
YAR003W	chrI;chrI	154905;154958	156801;156909	+;+	2005	300	308	307	347	338	321	254	196	133	319	310	284	316	340	216	281	258	247	257	168	193	223	178	148
YAR007C	chrI;chrI	156681;156681	158715;158698	-;-	2035	619	659	653	595	550	731	380	473	307	613	813	679	706	950	650	531	585	430	594	539	722	754	636	363
YAR008W	chrI;chrI	158847;158852	159916;159972	+;+	1126	523	719	467	569	513	433	423	408	316	553	557	596	501	550	493	571	426	528	449	335	467	333	351	282
YAR014C	chrI;chrI	166565;166565	169021;169019	-;-	2457	834	1116	825	872	918	822	759	518	340	730	847	600	828	1013	674	1156	762	795	841	515	739	688	526	519
YAR015W	chrI;chrI	169272;169330	170638;172008	+;+	2737	7512	9557	9919	8473	9590	9084	10216	8709	5452	7459	11579	7194	8233	10203	6688	10176	6726	6458	10546	7353	8033	6747	7600	7068
YAR018C	chrI;chrI	170177;170180	171715;171735	-;-	1559	205	312	263	296	189	304	187	251	132	196	303	259	356	413	205	346	202	242	205	163	269	258	230	210
YAR019C	chrI	172126	175168	-	3043	225	261	216	201	186	255	271	116	120	104	251	175	214	230	147	216	108	141	213	133	165	171	130	184
YAR019W-A	chrI	174998	175330	+	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
YAR020C	chrI	176856	177023	-	168	2	6	3	1	4	16	0	0	2	0	16	0	8	1	0	1	6	4	0	0	1	13	16	0
YAR023C	chrI;chrI	179099;179245	180051;180697	-;-	1599	149	190	119	129	100	298	172	109	82	116	177	146	223	288	186	98	197	123	149	92	102	130	120	81
YAR027W	chrI;chrI	183671;183671	184683;184687	+;+	1017	203	209	167	168	170	247	239	216	112	226	204	231	227	398	203	222	169	162	169	139	241	193	183	135
YAR028W	chrI;chrI	184821;184832	185936;185977	+;+	1157	0	0	0	14	3	0	0	0	0	0	0	1	3	3	8	0	1	1	0	0	6	4	0	0
YAR029W	chrI;chrI	185009;185615	186754;186754	+;+	1746	279	267	262	269	258	238	174	129	73	150	119	161	297	402	169	212	195	152	181	175	217	126	139	137
YAR030C	chrI	186033	186857	-	825	11	24	22	30	47	17	43	8	15	30	9	17	22	24	14	29	8	18	20	41	21	6	12	9
YAR031W	chrI	186836	187732	+	897	20	16	14	13	19	20	14	12	14	14	20	12	9	31	3	10	15	9	9	1	20	11	15	8
YAR033W	chrI;chrI	187843;188043	188923;189258	+;+	1416	396	472	547	368	359	525	443	349	201	223	441	348	572	625	415	476	296	350	499	371	381	329	375	316
YAR035W	chrI	190156	192365	+	2210	105	160	191	171	160	185	106	200	139	98	214	116	111	198	169	178	99	142	365	234	230	213	157	171
YAR035C-A	chrI	192337	192417	-	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0
YAR042W	chrI;chrI	192583;192587	196349;196310	+;+	3767	1308	1095	1284	1510	1267	1473	1104	754	613	964	1314	804	1313	1812	980	1733	983	1144	1505	1078	1421	1051	974	761
YAR047C	chrI	201467	201787	-	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR050W	chrI	203403	208016	+	4614	2	8	29	4	7	23	11	6	2	11	20	5	29	23	15	24	9	9	24	19	25	20	5	9
YAR053W	chrI	208193	209632	+	1440	4	4	1	9	0	0	6	3	4	0	0	4	5	9	3	1	1	15	0	2	1	0	0	0
YAR060C	chrI	217157	217492	-	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR064W	chrI	220198	220497	+	300	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
YAR066W	chrI	221049	221660	+	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR068W	chrI	222406	222891	+	486	0	0	0	0	3	1	0	8	4	0	5	3	12	10	8	12	3	2	6	6	9	17	8	7
YAR069C	chrI	224011	224304	-	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR070C	chrI	224563	224862	-	300	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
YAR071W	chrI	225460	226863	+	1404	4	0	0	2	7	4	18	2	8	10	0	1	8	10	6	38	1	0	11	23	9	5	0	6
YAR073W	chrI	227742	228953	+	1212	0	10	5	0	0	0	7	0	0	0	9	0	4	4	4	0	1	4	0	0	4	0	12	1
YAR075W	chrI	228844	229317	+	474	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	5	0	1	0	0
YBL113C	chrII	280	2658	-	2379	85	250	160	159	81	130	188	84	53	119	69	53	136	174	111	185	186	110	102	78	108	96	114	58
YBL113W-A	chrII	646	1128	+	483	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0
YBL112C	chrII	2582	2899	-	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL111C	chrII	2907	5009	-	2103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL109W	chrII	5790	6125	+	336	2	6	10	3	8	3	2	5	3	0	0	0	0	5	3	2	8	0	30	4	11	7	1	0
YBL108C-A	chrII	7605	7733	-	129	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0
YBL108W	chrII	8177	8482	+	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL107W-A	chrII	9268	9372	+	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL107C	chrII;chrII	9730;9730	10563;10551	-;-	834	1170	1249	1624	1761	1366	2045	2786	1737	1061	997	2247	1346	1481	1879	1227	1898	993	1322	2527	2243	2191	2457	2207	2101
YBL106C	chrII	10847	13879	-	3033	98	175	101	161	152	144	74	55	47	108	64	87	101	134	96	83	114	76	157	94	90	49	84	47
YBL105C	chrII;chrII	14104;14104	17962;17965	-;-	3862	935	889	796	872	691	1060	526	620	326	621	848	552	914	1208	738	977	756	704	850	575	596	648	542	496
YBL104C	chrII	18076	21318	-	3243	587	679	636	736	494	701	582	459	297	480	658	528	678	881	488	767	570	517	671	400	527	523	599	462
YBL103C	chrII;chrII	21573;21682	23790;23802	-;-	2230	928	773	942	838	682	1103	656	770	392	571	839	635	901	1230	705	1037	541	666	875	638	716	824	552	542
YBL102W	chrII;chrII	23879;23980	24938;24968	+;+	1090	600	461	414	498	459	633	271	537	294	642	595	610	763	821	663	450	571	405	369	429	441	572	380	276
YBL101C	chrII	24777	28406	-	3630	339	367	349	290	382	447	362	272	238	342	448	241	372	498	289	350	309	290	305	228	252	400	384	376
YBL100W-C	chrII	28372	29119	+	748	14	19	15	4	8	26	0	12	5	8	8	10	5	7	10	2	3	10	12	13	13	2	7	0
YBL100C	chrII	36989	37303	-	315	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0
YBL099W	chrII;chrII	36702;36766	38982;39100	+;+	2399	26058	26569	31767	31025	31070	30465	40356	30774	20089	25344	40173	28598	35798	41333	29640	34902	26641	29768	33160	29765	36249	31841	32641	27604
YBL098W	chrII	39145	40527	+	1383	259	338	260	244	393	324	283	403	215	264	332	234	276	262	190	328	223	163	192	246	299	235	290	201
YBL097W	chrII	40831	43095	+	2265	219	274	190	240	153	235	188	94	60	122	125	125	210	260	191	224	138	154	152	146	96	141	136	129
YBL096C	chrII	43132	44042	-	911	13	17	43	40	6	33	46	15	17	8	19	44	52	52	7	10	35	37	21	37	15	13	16	21
YBL095W	chrII;chrII	42052;43277	44207;44341	+;+	2290	216	332	189	260	211	254	190	246	153	329	352	300	277	309	200	240	200	183	302	163	221	263	277	186
YBL094C	chrII	43765	44097	-	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL093C	chrII;chrII	43818;43832	44998;45023	-;-	1206	1181	1476	1387	1645	1475	1542	1969	1535	1205	1138	1426	1363	1174	1412	1067	2240	1160	1483	1841	1692	1649	1341	1362	1408
YBL092W	chrII;chrII	45281;45356	46514;46517	+;+	1237	48648	32291	56037	53783	68690	59713	29847	77004	51962	53103	90369	65181	56984	61604	51177	64222	49514	52692	82097	70614	71816	72048	68224	61911
YBL091C-A	chrII;chrII	46322;46355	47185;47201	-;-	880	373	250	347	336	272	603	472	475	194	217	615	292	459	624	451	360	335	266	496	567	583	626	549	515
YBL091C	chrII;chrII	47010;47186	48636;48690	-;-	1681	3509	4206	3432	3522	3101	4043	3006	2216	1440	3407	3337	3313	3773	5147	3131	3945	3016	2726	2907	2115	2483	2930	2590	1954
YBL090W	chrII;chrII	48785;48808	49577;49634	+;+	850	788	706	711	834	1132	835	824	835	605	815	1062	940	775	811	789	865	640	710	814	625	867	867	1050	890
YBL089W	chrII;chrII	49510;49558	51278;51234	+;+	1769	304	290	313	237	293	344	364	255	229	305	432	264	344	349	277	297	212	297	351	222	249	365	313	248
YBL088C	chrII	51019	59382	-	8364	643	753	617	727	583	690	618	427	358	516	585	440	628	865	479	618	456	515	574	483	594	555	423	387
YBL087C	chrII;chrII	59593;59641	60845;60834	-;-	1253	41124	18757	47367	40905	60159	54377	7055	66497	44607	50638	74987	57078	51493	55320	46167	60146	43663	42193	64918	56944	61251	61549	53427	48036
YBL086C	chrII	61142	62726	-	1585	539	527	527	455	478	738	368	316	217	396	402	416	707	829	533	491	467	484	543	389	508	443	415	371
